"Data";"Instituto";"Lula (PT)";"José Serra (PSDB)";"Ciro Gomes (PPS)";"Anthony Garotinho (PSB)";"Roseana Sarney (PFL)";"Itamar Franco (PMDB)";"Silvio Santos (PFL)";"Votos Nao-Validos";"link"
2002-10-26;"Ibope";58;36;;;;;;3;"http://www1.uol.com.br/fernandorodrigues/arquivos/pesquisas/eleicoes2002/2o_turno/pres.shl"
2002-10-26;"Datafolha";58;32;;;;;;7;"http://www1.uol.com.br/fernandorodrigues/arquivos/pesquisas/eleicoes2002/2o_turno/pres.shl"
2002-10-24;"Vox Populi";58;32;;;;;;6;"http://www1.uol.com.br/fernandorodrigues/arquivos/pesquisas/eleicoes2002/2o_turno/pres.shl"
2002-10-24;"Sensus";57,8;31;;;;;;11,4;"http://www1.uol.com.br/fernandorodrigues/arquivos/pesquisas/eleicoes2002/2o_turno/pres.shl"
2002-10-23;"Datafolha";59;31;;;;;;6;"http://www1.uol.com.br/fernandorodrigues/arquivos/pesquisas/eleicoes2002/2o_turno/pres.shl"
2002-10-21;"Ibope";60;32;;;;;;5;"http://www1.uol.com.br/fernandorodrigues/arquivos/pesquisas/eleicoes2002/2o_turno/pres.shl"
2002-10-18;"Datafolha";61;32;;;;;;4;"http://www1.uol.com.br/fernandorodrigues/arquivos/pesquisas/eleicoes2002/2o_turno/pres.shl"
2002-10-16;"Sensus";59,3;30,8;;;;;;10;"http://www1.uol.com.br/fernandorodrigues/arquivos/pesquisas/eleicoes2002/2o_turno/pres.shl"
2002-10-15;"Vox Populi";60;30;;;;;;3;"http://www1.uol.com.br/fernandorodrigues/arquivos/pesquisas/eleicoes2002/2o_turno/pres.shl"
2002-10-14;"Ibope";60;31;;;;;;4;"http://www1.uol.com.br/fernandorodrigues/arquivos/pesquisas/eleicoes2002/2o_turno/pres.shl"
2002-10-11;"Datafolha";58;32;;;;;;4;"http://www1.uol.com.br/fernandorodrigues/arquivos/pesquisas/eleicoes2002/2o_turno/pres.shl"
2002-10-11;"Vox Populi";60;30;;;;;;;"http://www1.uol.com.br/fernandorodrigues/arquivos/pesquisas/eleicoes2002/2o_turno/pres.shl"
2002-10-05;"Datafolha";56;35;;;;;;;"http://www1.uol.com.br/fernandorodrigues/arquivos/pesquisas/eleicoes2002/pres.shl"
2002-10-05;"Datafolha";55;;;37;;;;;"http://www1.uol.com.br/fernandorodrigues/arquivos/pesquisas/eleicoes2002/pres.shl"
2002-10-05;"Datafolha";57;;34;;;;;;"http://www1.uol.com.br/fernandorodrigues/arquivos/pesquisas/eleicoes2002/pres.shl"
2002-10-02;"Datafolha";55;37;;;;;;;"http://www1.uol.com.br/fernandorodrigues/arquivos/pesquisas/eleicoes2002/pres.shl"
2002-10-02;"Datafolha";55;;;36;;;;;"http://www1.uol.com.br/fernandorodrigues/arquivos/pesquisas/eleicoes2002/pres.shl"
