"Data";"Instituto";"Lula (PT)";"Geraldo Alckmin (PSDB)";"José Serra (PSDB)";"Garotinho (PMDB)";"Aécio Neves (PSDB)";"FHCPSDB";"Heloísa Helena (PSOL)";"Germano Rigotto (PMDB)";"Pedro Simon (PMDB)";"Votos Nao-Validos";"link";"Entrevistas";"Local Registro";"Margem de Erro";"Numero Registro"
2005-02-17;"Sensus";57,4;;;;20;;;;;22,7;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
2005-02-17;"Sensus";57,2;21,4;;;;;;;;21,4;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
2005-02-17;"Sensus";56,8;;;;;22,9;;;;20,4;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
2005-02-17;"Sensus";52;;29,9;;;;;;;18,2;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
2005-04-14;"Sensus";52,9;;;22;;;;;;25,2;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
2005-04-14;"Sensus";54,6;21;;;;;;;;24,4;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
2005-05-27;"Sensus";53,8;;;;19,5;;;;;26,8;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
2005-05-27;"Sensus";52,1;;;22,4;;;;;;25,6;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
2005-05-27;"Sensus";51,8;22,2;;;;;;;;26,1;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
2005-05-27;"Sensus";52,8;;;;;20,9;;;;26,3;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
2005-05-27;"Sensus";49,7;;27,1;;;;;;;23,3;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
2005-06-16;"Datafolha";57;;;;23;;;;;20;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
2005-06-16;"Datafolha";54;28;;;;;;;;18;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
2005-06-16;"Datafolha";53;;;;;29;;;;18;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2005.jhtm";;;;
