"Data";"Instituto";"José Serra (PSDB)";"Dilma Roussef (PT)";"Ciro Gomes (PSB)";"Aécio Neves (PSDB)";"Marina Silva (PV)";"Patrus Ananias (PT)";"Votos Nao-Validos";"link";"Contratante";"Entrevistas";"Local Registro";"Margem de Erro";"Numero Registro"
2008-02-16;"Sensus";;36,9;;14,5;;;48,7;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;;;;
2008-02-16;"Sensus";59,1;;;;;8;33;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;;;;
2008-02-16;"Sensus";57,9;9,2;;;;;33;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;;;;
2008-04-25;"Sensus";43,7;;25,5;;;;31;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2008-04-25;"Sensus";;18,3;;32,1;;;49,6;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2008-04-25;"Sensus";55,1;;;;;8,2;36,8;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2008-04-25;"Sensus";53,2;13,6;;;;;33,3;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2008-09-19;"Sensus";47,1;;22,5;;;;30,4;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2008-09-19;"Sensus";;18,4;;34;;;47,7;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2008-09-19;"Sensus";55,1;;;;;7,7;37,2;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2008-09-19;"Sensus";51,4;15,7;;;;;32,9;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2008-12-12;"Sensus";53,7;14,5;;;;;31,9;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2008-12-12;"Sensus";52,7;;13,9;;;;33,5;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2008-12-12;"Sensus";;20,2;;32,3;;;47,6;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2008-12-12;"Sensus";;;23,7;30,2;;;46,3;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2009-01-30;"Sensus";50,2;;14,7;;;;35,2;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2009-01-30;"Sensus";;23,9;;30,4;;;45,8;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2009-01-30;"Sensus";;;24,7;29,1;;;46,3;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2009-01-30;"Sensus";50,8;16,6;;;;;32,6;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2009-03-27;"Sensus";49,9;;20,3;;;;29,9;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2009-03-27;"Sensus";;29,1;;28,3;;;42,7;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2009-03-27;"Sensus";;;31,2;26,8;;;36,2;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2009-03-27;"Sensus";53,5;21,3;;;;;25,3;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2009-05-29;"Sensus";;;34,1;27,9;;;38;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2009-05-29;"Sensus";51,8;;19,9;;;;28,4;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2009-05-29;"Sensus";;39,4;;25,9;;;34,8;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2009-05-29;"Sensus";49,7;28,7;;;;;21,7;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
2009-09-01;"Sensus";51,5;;16,7;;;;31,9;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";;2000;;3;
