"Data";"Instituto";"Dilma (PT)";"Aecio (PSDB)";"Marina (PSB)";"Br Nulo Nenhum";"NS NR";"Eduardo (PSB)";"Br Nulo Nenhum NS NR";"Entrevistas";"Numero Registro";"link"
2014-10-25;"Vox Populi";48;41;;5;5;;;2000;"BR-01185/2014";"http://noticias.r7.com/eleicoes-2014/dilma-amplia-vantagem-sobre-aecio-para-7-pontos-segundo-vox-populi-25102014"
2014-10-25;"Sensus";42;45,7;;7,3;5;;;2000;"BR-01193/2014";"http://www.istoe.com.br/reportagens/389376_AECIO+ABRE+QUATRO+PONTOS+DE+VANTAGEM+E+CONSOLIDA+LIDERANCA+A+UM+DIA+DA+ELEICAO?pathImagens&path&actualArea=internalPage"
2014-10-25;"Datafolha";47;43;;5;5;;;19318;"BR-01210/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/10/dilma-tem-52-e-aecio-48-dos-votos-validos-diz-datafolha.html"
2014-10-25;"Ibope";49;43;;5;3;;;3010;"BR-01195/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/10/dilma-tem-53-e-aecio-47-dos-votos-validos-aponta-ibope.html"
2014-10-24;"MDA";44,7;45,3;;5,9;4,2;;;2002;"BR-01199/2014";"http://www.cnt.org.br/Imagens%20CNT/Not%C3%ADcias/2014/Relatorio%20SINTESE%20-%20CNT%20OUTUBRO2014%20-%20R%20126%20-%20FINAL.pdf"
2014-10-24;"Sensus";40;48,1;;7;5;;;2000;"BR-01166/2014";"http://www.istoe.com.br/reportagens/389091_AECIO+LIDERA+COM+NOVE+PONTOS+DE+VANTAGEM+SOBRE+DILMA?pathImagens=&path=&actualArea=internalPage"
2014-10-23;"Datafolha";48;42;;5;5;;;9910;"BR-01162/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/10/dilma-tem-53-e-aecio-47-dos-votos-validos-diz-pesquisa-datafolha.html"
2014-10-22;"Ibope";49;41;;7;3;;;3010;"BR-01168/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/10/dilma-tem-54-e-aecio-46-dos-votos-validos-diz-pesquisa-ibope.html"
2014-10-21;"Datafolha";47;43;;6;4;;;4355;"BR-01160/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/10/dilma-tem-52-e-aecio-48-dos-votos-validos-diz-pesquisa-datafolha.html"
2014-10-20;"Instituto Verita";41,4;47;;3,7;7,8;;;7700;"BR-01144/2014";"http://www.hojeemdia.com.br/elei%C3%A7%C3%B5es-2014/aecio-tem-53-2-contra-46-8-de-dilma-mostra-pesquisa-do-instituto-verita-1.276725"
2014-10-20;"Datafolha";46;43;;6;5;;;4389;"BR-01140/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/10/dilma-tem-52-e-aecio-48-dos-votos-validos-aponta-datafolha.html"
2014-10-19;"Vox Populi";46;43;;5;5;;;2000;"BR-01136/2014";"http://noticias.uol.com.br/ultimas-noticias/reuters/2014/10/20/vox-populi-tem-novo-empate-tecnico-dilma-vai-a-52-dos-contra-48-de-aecio.htm"
2014-10-17;"Sensus";38,4;49,7;;6,9;5;;;2000;"BR-01094/2014";"http://www.istoe.com.br/reportagens/388139_AECIO+ESTA+13+PONTOS+A+FRENTE+DE+DILMA?pathImagens=&path=&actualArea=internalPage"
2014-10-15;"Datafolha";43;45;;6;6;;;9081;"BR-01098/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/10/aecio-tem-51-e-dilma-49-dos-votos-validos-aponta-datafolha.html"
2014-10-14;"Ibope";43;45;;7;5;;;3010;"BR-01097/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/10/aecio-tem-51-e-dilma-49-dos-votos-validos-aponta-ibope.html"
2014-10-12;"Vox Populi";45;44;;5;5;;;2000;"BR-01079/2014";"http://noticias.band.uol.com.br/eleicoes/2014/presidenciaveis/100000713773/vox-populi-dilma-tem-51-contra-49-de-aecio.html"
2014-10-10;"Sensus";36,7;52,4;;6,8;4,2;;;2000;"BR-01076/2014";"http://www.istoe.com.br/reportagens/387301_AECIO+DISPARA+E+ABRE+17+PONTOS+DE+VANTAGEM+SOBRE+DILMA+MOSTRA+PESQUISA+ISTOE+SENSUS"
2014-10-09;"Datafolha";44;46;;4;6;;;2879;"BR 01068/2014";"http://www1.folha.uol.com.br/poder/2014/10/1530110-aecio-comeca-2-turno-com-51-ante-49-de-dilma-mostra-datafolha.shtml"
2014-10-08;"Ibope";44;46;;6;4;;;2010;"BR-01071/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/10/aecio-tem-46-e-dilma-44-diz-1-pesquisa-ibope-do-segundo-turno.html"
2014-10-08;"Instituto Verita";39,4;47,8;;5,8;7;;;5165;"BR 01067/2014";"http://www.infomoney.com.br/mercados/eleicoes/noticia/3624583/nova-pesquisa-mostra-aecio-abre-vantagem-quase-pontos-ante-dilma"
2014-10-08;"Parana Pesquisas";41;49;;6;4;;;2080;"BR 01065/2014";"http://epoca.globo.com/tempo/eleicoes/noticia/2014/10/baecio-54-x-dilma-46b-primeira-pesquisa-sobre-o-segundo-turno.html"
2014-10-04;"Vox Populi";48;;37;9;6;;;2000;"BR-01016/2014";"http://noticias.r7.com/eleicoes-2014/vox-populi-mostra-dilma-na-lideranca-e-aecio-a-frente-de-marina-04102014"
2014-10-04;"Datafolha";48;;41;7;4;;;18116;"BR-01037/2014";"http://www1.folha.uol.com.br/poder/2014/10/1527282-dilma-tem-44-aecio-vai-a-26-e-marina-recua-para-24-dos-validos-diz-datafolha.shtml"
2014-10-04;"Vox Populi";46;41;;8;5;;;2000;"BR-01016/2014";"http://noticias.r7.com/eleicoes-2014/vox-populi-mostra-dilma-na-lideranca-e-aecio-a-frente-de-marina-04102014"
2014-10-04;"Datafolha";47,2;41,8;;7,3;3,7;;;18116;"BR-01037/2014";"http://www1.folha.uol.com.br/poder/2014/10/1527282-dilma-tem-44-aecio-vai-a-26-e-marina-recua-para-24-dos-validos-diz-datafolha.shtml"
